id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,sum,sum_organic,sum_inorganic,sum_Phosphotransferase,sum_Transporters,sum_Two_component,occP_1_2,labP,orgP,secP_1_2,totP
SRR10360623,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.00220847,-0.441762991,-2.558388611,-0.671031436,-6.785666874,-2.545358557,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360624,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.4201506,-1.318103767,-2.849191595,-0.559005455,-6.765979673,-2.927870106,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360625,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.29222067,-0.285442377,-2.701315262,-0.741515784,-7.422589529,-3.141357716,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360626,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-16.07351916,-1.486713939,-2.548751544,-0.969936099,-7.684653074,-3.383464508,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360627,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.50378665,-1.076302903,-2.267825003,-0.842518935,-6.989885122,-3.327254681,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360628,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.33679272,-1.460097119,-1.957366517,-0.687070672,-6.878390889,-3.353867527,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360629,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-14.33254665,-1.038219092,-2.587924772,-0.899347198,-6.317352874,-3.48970271,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360630,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.07779693,-0.869716297,-2.590986744,-0.673312849,-6.38690111,-2.556879931,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360631,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.08562047,-0.305390367,-3.010220673,-0.633218666,-6.505442575,-2.631348186,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360637,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-15.04316126,-1.899556783,-2.606899063,-1.004120793,-6.259089096,-3.273495524,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360648,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-11.53009509,-1.460383005,-2.227394172,-0.758125709,-4.826791511,-2.257400693,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360656,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-16.72820155,-1.379376317,-2.95384965,-0.964025478,-8.001855463,-3.429094646,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360657,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-17.13262175,-1.367966982,-2.952696839,-0.690902244,-8.520006597,-3.601049085,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360658,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-15.14442136,-1.950834879,-2.790338712,-0.902543169,-5.860778813,-3.639925785,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360659,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-18.47914554,-1.992367206,-3.192967112,-0.463943421,-9.550881862,-3.278985938,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360660,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-13.33647695,-1.658999536,-2.351134053,-0.733405277,-5.698744696,-2.894193391,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10445785,0.040879372,0.523130278,-2.320235492,-0.257676931,-0.844760146,-0.096280791,-0.058724075,-22.37397367,-2.26680273,-3.63837106,-1.195742352,-11.19090721,-4.082150322,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10445786,0.040926171,0.52309688,-2.320099379,-0.257580749,-0.844765517,-0.096343436,-0.058718506,-22.37535171,-2.26680273,-3.629964519,-1.195742352,-11.20069179,-4.082150322,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10445787,0.040921917,0.523099917,-2.320111752,-0.257589493,-0.844765029,-0.096337741,-0.058719012,-22.31965824,-2.26680273,-3.632521375,-1.195742352,-11.14244147,-4.082150322,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10445788,0.040879372,0.523130278,-2.320235492,-0.257676931,-0.844760146,-0.096280791,-0.058724075,-22.28127441,-2.26680273,-3.56465903,-1.195742352,-11.18864555,-4.065424745,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10445789,0.040879372,0.523130278,-2.320235492,-0.257676931,-0.844760146,-0.096280791,-0.058724075,-21.8179783,-2.021310576,-3.47548907,-1.195742352,-11.06834616,-4.057090146,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10445790,0.040926171,0.52309688,-2.320099379,-0.257580749,-0.844765517,-0.096343436,-0.058718506,-22.39040198,-2.26680273,-3.63837106,-1.195742352,-11.20733552,-4.082150322,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10445791,0.040921917,0.523099917,-2.320111752,-0.257589493,-0.844765029,-0.096337741,-0.058719012,-22.33420138,-2.26680273,-3.622279548,-1.172868836,-11.19009994,-4.082150322,-0.685169467,-0.885245322,-0.87260442,-0.615219383,-1.009639579
SRR10854857,0.410321477,-1.286400352,-0.187680813,-0.36578205,-1.060347983,-0.521861575,0.35509206,-22.39040198,-2.26680273,-3.63837106,-1.195742352,-11.20733552,-4.082150322,-1.33907969,-0.321440003,-1.653788163,-1.060934575,-0.494119346
SRR10857620,-1.579039013,-2.054986223,-0.690992392,-1.013416841,-0.630836909,0.81242642,1.157694261,4.75094781,1.339096313,1.890753562,-0.960696244,1.746505642,0.735288536,-0.808233277,0.48828413,-1.433806291,-0.429597478,0.498160219
SRR10857621,-1.599047536,-2.102918725,-0.551827405,-0.460870373,-0.567611581,0.77186996,1.202146971,-4.522439455,-0.923015746,1.531708487,-0.937399638,-2.499475858,-1.694256701,-0.808233277,0.48828413,-1.433806291,-0.429597478,0.498160219
