sort_id,GDP_per_capita_PPP2005,anthropogenic_biome_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,pfertilizer_global_2,human_footprint_3,rev_travel_time_to_cities_min,sum,sum_organic,sum_inorganic,sum_phosphotransferase,sum_transporters,sum_two_component,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters,travel_time_to_cities_min
SRR10360608,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.38587887,-1.760005648,-2.141603356,-0.799697123,-5.698009117,-2.986563628,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360609,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.24545535,-1.964743778,-2.204987026,-0.878253155,-5.928614465,-3.268856928,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360610,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-15.77973386,-1.960216328,-2.368713811,-0.973240457,-7.093448708,-3.384114557,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360611,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-15.29928145,-1.863593603,-2.231010028,-0.871830019,-6.961775438,-3.371072363,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360612,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.10512187,-1.997245713,-1.909885155,-0.595475058,-5.464221609,-3.138294333,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360613,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-11.91462111,-1.749559612,-1.694326454,-0.751043519,-4.633933395,-3.08575813,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360614,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-15.70214033,-2.055003475,-2.39733459,-0.722962224,-6.994091736,-3.532748309,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360615,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-18.6661406,-1.805935098,-3.123097447,-0.927916286,-9.268600326,-3.540591443,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360616,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-16.45455397,-1.944722917,-2.665813432,-0.910834912,-7.460807938,-3.47237477,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360617,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.33604679,-1.381778947,-2.373910865,-0.985071146,-5.338265351,-3.257020479,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360618,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-15.96918898,-1.994571572,-2.604676204,-0.863955844,-7.231212581,-3.27477278,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360619,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.97988195,-1.44480858,-2.747396231,-0.896969159,-7.03194953,-2.858758453,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360620,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.37198342,-1.281352213,-2.132323079,-0.825183251,-6.573154439,-2.559970443,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360621,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-12.91398295,-1.915294337,-1.980983866,-0.857933411,-4.954972525,-3.204798816,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360622,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.37519627,-1.115922867,-2.64985783,-0.869694584,-6.692360433,-3.047360561,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360623,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.00220847,-0.441762991,-2.558388611,-0.671031436,-6.785666874,-2.545358557,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360624,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.4201506,-1.318103767,-2.849191595,-0.559005455,-6.765979673,-2.927870106,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360625,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.29222067,-0.285442377,-2.701315262,-0.741515784,-7.422589529,-3.141357716,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
